"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_rank_off","TEPA_rank_off","EPAgame_rank_off","EPAplay_rank_off","success_rank_off","start_position_rank_off","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_rank_def","TEPA_rank_def","EPAgame_rank_def","EPAplay_rank_def","success_rank_def","start_position_rank_def","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
68,"Boise State","BSU",2021,1083,90.25,51.7542310564138,0.0477878403106314,4.31285258803448,0.405355493998153,72.0757156048015,41,54,54,53,38,81,1061,88.4166666666667,-55.1461244701411,-0.0519756121301989,-4.59551037251176,0.342130065975495,73.3091423185674,68,14,15,15,16,91,106.900355526555,0.0997634524408303,8.90836296054624,0.0632254280226585,-1.23342671376592,16,13,14,15,90
103,"Boston College","BC",2021,900,81.8181818181818,18.2983017411926,0.0203314463791029,1.66348197647205,0.371111111111111,73.8711111111111,113,68,69,67,79,29,925,84.0909090909091,25.5864330518295,0.0276610087046806,2.32603936834814,0.380540540540541,71.6410810810811,27,60,59,62,59,37,-7.28813131063693,-0.00732956232557768,-0.662557391876085,-0.00942942942942943,2.23003003003002,74,75,74,79,29
189,"Bowling Green","BGSU",2021,900,90,-31.2510366248743,-0.0347233740276381,-3.12510366248743,0.327777777777778,71.4055555555556,43,107,110,110,117,94,952,95.2,59.2132088511997,0.062198748793277,5.92132088511997,0.418067226890756,69.3760504201681,118,82,86,86,102,10,-90.464245476074,-0.0969221228209152,-9.0464245476074,-0.0902894491129785,2.02950513538748,105,107,107,114,33
2084,"Buffalo","BUFF",2021,1072,97.4545454545455,14.9055104917724,0.0139043941154594,1.35504640834295,0.41044776119403,75.3936567164179,9,73,73,74,34,5,983,89.3636363636364,88.1470321248465,0.0896714467190707,8.01336655680422,0.376398779247202,70.292980671414,77.5,101,101,102,55,17,-73.241521633074,-0.0757670526036113,-6.65832014846128,0.0340489819468274,5.10067604500387,99,99,99,36,8
252,"BYU","BYU",2021,999,83.25,150.041195541207,0.150191386928135,12.5034329617672,0.436436436436436,73.1261261261261,104,7,6,4,10,52,1043,86.9166666666667,116.749172719672,0.111935927823271,9.72909772663934,0.431447746883989,74.6807286673058,57,115,112,110,110,119,33.2920228215349,0.0382554591048637,2.7743352351279,0.00498868955244791,-1.55460254117972,50,51,46,64,95
25,"California","CAL",2021,948,86.1818181818182,12.7460985070847,0.0134452515897518,1.15873622791679,0.368143459915612,74.1845991561181,79.5,76,78,75,86,24,998,90.7272727272727,9.22811666531314,0.00924660988508331,0.838919696846649,0.385771543086172,71.8907815631263,91,50,50,49,67,44,3.51798184177154,0.00419864170466847,0.31981653107014,-0.0176280831705605,2.29381759299189,65,65,65,86,27
2117,"Central Michigan","CMU",2021,1024,93.0909090909091,68.7761724833156,0.0671642309407379,6.25237931666505,0.390625,70.591796875,26,38,35,39,55,111,1002,91.0909090909091,32.9843341319977,0.0329184971377223,2.99857583018161,0.396207584830339,72.3053892215569,96,67,67,66,85,58,35.7918383513179,0.0342457338030156,3.25380348648344,-0.0055825848303393,-1.71359234655688,49,48,49,73,96
2429,"Charlotte","CHAR",2021,962,87.4545454545455,82.2066910248519,0.0854539407742743,7.47333554771381,0.406444906444906,72.9064449064449,68,33,30,27,36,57,905,82.2727272727273,183.643248023042,0.20292071604756,16.6948407293674,0.414364640883978,71.4983425414365,19,128,129,130,100,32,-101.43655699819,-0.117466775273285,-9.2215051816536,-0.00791973443907146,1.40810236500845,110,108,113,77,42
2132,"Cincinnati","CIN",2021,1008,77.5384615384615,40.871461474604,0.0405470847962341,3.14395857496954,0.435515873015873,67.7728174603175,128,58,58,57,11,129,1215,93.4615384615385,-118.351965285571,-0.0974090249263957,-9.1039973296593,0.351440329218107,73.080658436214,113,6,7,8,23,88,159.223426760175,0.13795610972263,12.2479559046288,0.0840755437977661,-5.30784097589654,5,6,6,6,126
228,"Clemson","CLEM",2021,1043,86.9166666666667,-31.7414213608519,-0.0304328105089664,-2.64511844673766,0.361457334611697,70.7679769894535,72,109,105,105,94,108,1121,93.4166666666667,-122.98072222216,-0.109706264248136,-10.2483935185133,0.311329170383586,75.328278322926,112,5,3,5,5,125,91.2393008613081,0.0792734537391692,7.60327507177567,0.0501281642281109,-4.56030133347245,20,20,23,22,122
