"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_off_rank","TEPA_off_rank","EPAgame_off_rank","EPAplay_off_rank","success_off_rank","start_position_off_rank","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_def_rank","TEPA_def_rank","EPAgame_def_rank","EPAplay_def_rank","success_def_rank","start_position_def_rank","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
130,"Michigan","MICH",2014,942,78.5,1.83729657300706,0.00195042099045335,0.153108047750588,0.383227176220807,70.5934182590234,128,124,124,124,66,53,1018,84.8333333333333,68.5318141892037,0.0673200532310449,5.71098451576697,0.358546168958743,67.6935166994106,20,23,21,23,22,120,-66.6945176161966,-0.0653696322405915,-5.55787646801639,0.0246810072620642,-2.89990155961274,114,114,113,38,102
127,"Michigan State","MSU",2014,1119,93.25,179.174714878496,0.160120388631363,14.9312262398746,0.445040214477212,67.840035746202,42,27,30,33,15,10,1015,84.5833333333333,167.019880006592,0.164551605917825,13.9183233338827,0.329064039408867,71.5270935960591,17.5,96,94,103,9,48,12.1548348719034,-0.00443121728646148,1.01290290599195,0.115976175068345,3.68705784985715,56,56,73,1,15
2393,"Middle Tennessee","MTSU",2014,921,92.1,151.361239840796,0.164344451510093,15.1361239840796,0.393051031487514,71.5613463626493,53,46,28,30,54,76,969,96.9,132.477808599667,0.136716004746819,13.2477808599667,0.440660474716202,70.046439628483,108,63,86,77,115,80,18.8834312411286,0.0276284467632746,1.88834312411286,-0.0476094432286887,-1.51490673416632,48,45,41,99,84
135,"Minnesota","MINN",2014,1005,83.75,91.5915070899502,0.0911358279501992,7.63262559082918,0.392039800995025,70.3562189054726,114,92,96,90,55,49,1004,83.6666666666667,111.892436342063,0.111446649743091,9.32436969517194,0.373505976095618,73.8575697211155,13,48,45,52,43,10,-20.3009292521132,-0.0203108217928918,-1.69174410434276,0.0185338248994074,3.50135081564291,87,86,88,51,18
344,"Mississippi State","MSST",2014,1146,95.5,134.07212074148,0.116991379355567,11.1726767284567,0.458115183246073,71.0636998254799,30,62,68,74,8,66,1127,93.9166666666667,121.981636552138,0.108235702353272,10.1651363793448,0.371783496007098,69.9520851818989,89.5,57,50,49,41,84,12.0904841893421,0.00875567700229485,1.00754034911184,0.0863316872389748,-1.11161464358108,57,57,60,7,78
142,"Missouri","MIZ",2014,1149,88.3846153846154,151.580560508948,0.131923899485594,11.6600431160729,0.359442993907746,72.8964316797215,82,45,63,55,99,106,1205,92.6923076923077,81.1208570808202,0.067320213345079,6.24006592929386,0.374273858921162,69.3900414937759,81,30,23,24,45,99,70.4597034281276,0.0646036861405152,5.41997718677904,-0.014830865013416,-3.50639018594556,10,15,15,76,109
2426,"Navy","NAVY",2014,913,83,133.486205132582,0.146206139247077,12.1351095575074,0.461117196056955,72.0306681270537,117,63,59,49,7,89,955,86.8181818181818,165.807408265415,0.173620322791011,15.0734007514014,0.471204188481675,70.5989528795811,28,94,101,108,124,65,-32.3212031328337,-0.0274141835439335,-2.93829119389397,-0.0100869924247203,-1.43171524747252,95,97,93,75,82
152,"NC State","NCST",2014,1059,88.25,180.800469254379,0.170727544149555,15.0667057711983,0.440982058545798,71.9121813031161,87,26,29,26,16,87,1078,89.8333333333333,187.098758265197,0.173561000246008,15.5915631887664,0.390538033395176,72.3228200371058,53,108,108,107,65,32,-6.29828901081811,-0.00283345609645319,-0.524857417568176,0.0504440251506217,0.410638733989614,78,77,69,21,53
158,"Nebraska","NEB",2014,1109,92.4166666666667,93.7905484249272,0.0845721807258136,7.8158790354106,0.42200180342651,64.1009918845807,50.5,89,93,96,29,1,1118,93.1666666666667,165.191274177926,0.147756059193136,13.7659395148272,0.364937388193202,70.1377459749553,85,93,92,89,34,77,-71.4007257529989,-0.0631838784673225,-5.95006047941657,0.0570644152333082,6.03675409037457,116,117,110,17,4
2440,"Nevada","NEV",2014,988,89.8181818181818,150.34271376333,0.152168738626852,13.66751943303,0.361336032388664,69.9321862348178,69,47,40,39,95,41,1071,97.3636363636364,83.6026503479462,0.078060364470538,7.60024094072239,0.432306255835668,73.1661998132586,113,32,32,29,106,19,66.7400634153835,0.0741083741563139,6.06727849230759,-0.0709702234470037,3.23401357844082,14,13,10,111,21
167,"New Mexico","UNM",2014,944,78.6666666666667,191.00391255696,0.202334653132373,15.91699271308,0.372881355932203,73.1408898305085,127,20,22,6,82,108,1129,94.0833333333333,193.737055132991,0.171600580277228,16.1447545944159,0.426926483613818,73.3861824623561,92,113,112,106,105,17,-2.73314257603022,0.0307340728551451,-0.227761881335852,-0.0540451276816141,0.24529263184759,72,72,39,103,58
